Date,ApprovalIndex,StronglyApprove,StronglyDisapprove,TotalApprove,TotalDisapprove
16-Oct-19,-3,37%,40%,50%,49%
15-Oct-19,-6,35%,41%,49%,50%
14-Oct-19,-8,34%,42%,49%,50%
11-Oct-19,-7,35%,42%,49%,50%
10-Oct-19,-10,33%,43%,47%,51%
9-Oct-19,-10,33%,43%,46%,52%
8-Oct-19,-9,35%,44%,45%,52%
7-Oct-19,-7,36%,43%,47%,51%
4-Oct-19,-9,35%,44%,48%,50%
3-Oct-19,-11,33%,44%,47%,52%
2-Oct-19,-10,34%,44%,48%,51%
1-Oct-19,-8,35%,43%,48%,50%
30-Sep-19,-7,35%,42%,49%,50%
27-Sep-19,-6,36%,42%,48%,50%
26-Sep-19,-6,36%,42%,49%,49%
25-Sep-19,-6,35%,41%,51%,47%
24-Sep-19,-2,37%,39%,53%,45%
23-Sep-19,-3,36%,39%,52%,46%
20-Sep-19,-2,37%,39%,52%,47%
19-Sep-19,-3,36%,39%,49%,50%
18-Sep-19,-1,36%,37%,51%,48%
17-Sep-19,-5,35%,40%,49%,50%
16-Sep-19,-6,35%,41%,50%,49%
13-Sep-19,-7,35%,42%,47%,52%
12-Sep-19,-6,35%,41%,48%,51%
11-Sep-19,-9,33%,42%,47%,53%
10-Sep-19,-10,34%,44%,47%,53%
9-Sep-19,-11,33%,44%,46%,53%
6-Sep-19,-9,34%,43%,46%,52%
5-Sep-19,-9,33%,42%,46%,52%
4-Sep-19,-11,32%,43%,46%,52%
3-Sep-19,-11,31%,42%,46%,53%
2-Sep-19,-13,30%,43%,45%,54%
30-Aug-19,-8,33%,41%,47%,51%
29-Aug-19,-8,34%,42%,47%,51%
28-Aug-19,-9,33%,42%,47%,52%
27-Aug-19,-9,33%,42%,47%,51%
26-Aug-19,-8,33%,41%,48%,50%
23-Aug-19,-4,35%,39%,50%,48%
22-Aug-19,-7,33%,40%,48%,50%
21-Aug-19,-10,32%,42%,46%,52%
20-Aug-19,-14,30%,44%,44%,54%
19-Aug-19,-11,32%,43%,46%,53%
16-Aug-19,-10,33%,43%,46%,52%
15-Aug-19,-11,32%,43%,46%,53%
14-Aug-19,-13,30%,43%,45%,54%
13-Aug-19,-11,31%,42%,46%,53%
